time;LIDL BEŽIGRAD;ŠMARTINSKI PARK;SAVSKO NASELJE 1-ŠMARTINSKA CESTA;ČRNUČE;VILHARJEVA CESTA;MASARYKOVA DDC;POGAČARJEV TRG-TRŽNICA;CANKARJEVA UL.-NAMA;ANTONOV TRG;PRUŠNIKOVA;TEHNOLOŠKI PARK;KOSEŠKI BAJER;TIVOLI;TRŽNICA MOSTE;GRUDNOVO NABREŽJE-KARLOVŠKA C.;LIDL-LITIJSKA CESTA;ŠPORTNI CENTER STOŽICE;ŠPICA;ROŠKA - STRELIŠKA;BAVARSKI DVOR;STARA CERKEV;SITULA;ILIRSKA ULICA;LIDL - RUDNIK;KOPALIŠČE KOLEZIJA;POVŠETOVA - KAJUHOVA;DUNAJSKA C.-PS MERCATOR;CITYPARK;KOPRSKA ULICA;LIDL - VOJKOVA CESTA;POLJANSKA-POTOČNIKOVA;POVŠETOVA-GRABLOVIČEVA;PARK NAVJE-ŽELEZNA CESTA;ZALOG;CESTA NA ROŽNIK;HOFER-KAJUHOVA;DUNAJSKA C.-PS PETROL;STUDENEC;PARKIRIŠČE NUK 2-FF;BRATOVŠEVA PLOŠČAD;KONGRESNI TRG-ŠUBIČEVA ULICA;BS4-STOŽICE;GERBIČEVA - ŠPORTNI PARK SVOBODA;ŽIVALSKI VRT;VOKA - SLOVENČEVA;BTC CITY/DVORANA A;TRNOVO;P+R BARJE;ROŽNA DOLINA-ŠKRABČEVA UL.;KINO ŠIŠKA;BRODARJEV TRG;ZALOŠKA C.-GRABLOVIČEVA C.;DOLENJSKA C. - STRELIŠČE;ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA;SOSESKA NOVO BRDO;TRŽNICA KOSEZE;ALEJA - CELOVŠKA CESTA;MERCATOR CENTER ŠIŠKA;GH ŠENTPETER-NJEGOŠEVA C.;HOFER - POLJE;VIŠKO POLJE;BONIFACIJA;P + R DOLGI MOST;DRAVLJE;POLJE;SUPERNOVA LJUBLJANA - RUDNIK;SREDNJA FRIZERSKA ŠOLA;TRG OF-KOLODVORSKA UL.;TRG MDB;TRŽAŠKA C.-ILIRIJA;PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE;MERCATOR MARKET - CELOVŠKA C. 163;SAVSKO NASELJE 2-LINHARTOVA CESTA;BREG;BTC CITY ATLANTIS;IKEA;MIKLOŠIČEV PARK;BARJANSKA C.-CENTER STAREJŠIH TRNOVO;LEK - VEROVŠKOVA;AMBROŽEV TRG;VOJKOVA - GASILSKA BRIGADA;RAKOVNIK;PREGLOV TRG;PLEČNIKOV STADION
2022-10-12-18-05;9;4;10;6;8;4;2;13;19;16;2;2;14;1;2;18;9;9;0;6;5;7;0;11;2;15;2;13;6;1;6;0;1;7;0;12;0;4;0;1;2;6;3;0;1;18;3;18;13;19;15;0;13;10;12;10;13;9;2;10;7;14;13;4;11;10;6;15;0;2;7;3;1;1;16;11;1;7;0;4;1;9;15;0
2022-10-12-18-10;10;4;10;6;8;3;0;3;19;16;2;2;19;1;1;19;9;9;0;5;5;6;3;11;2;15;2;15;6;1;7;0;0;7;0;12;1;4;0;1;1;6;5;0;1;18;3;19;10;20;15;0;12;10;13;10;13;8;0;10;0;14;14;4;11;10;6;18;0;2;7;2;0;1;16;11;0;7;0;2;1;11;15;0
2022-10-12-18-15;10;3;10;6;9;3;1;6;20;16;2;1;18;2;0;19;8;8;0;3;9;7;6;12;2;15;3;15;8;1;7;0;1;7;0;11;3;4;0;1;0;7;4;0;0;18;3;11;9;18;14;0;12;10;13;10;11;7;0;10;0;15;14;4;11;10;6;23;0;2;6;0;1;1;16;12;2;7;0;4;1;12;15;0
2022-10-12-18-20;7;3;9;7;8;2;0;3;20;16;2;1;17;3;0;20;8;8;0;3;11;5;7;12;3;15;1;14;8;1;6;0;1;6;1;9;2;5;0;1;1;7;4;0;0;18;3;10;8;18;14;0;12;10;13;9;11;5;1;10;0;14;14;4;11;10;6;24;0;0;3;1;4;0;16;11;6;7;1;3;0;13;15;0
2022-10-12-18-25;5;2;9;7;8;6;1;3;19;15;2;1;19;3;0;20;5;6;0;3;12;6;7;12;0;15;0;13;8;3;7;3;5;6;0;8;6;3;0;1;2;8;4;0;0;18;3;11;9;19;14;0;14;10;13;8;11;5;1;10;0;15;14;3;11;10;5;24;2;2;1;1;4;0;16;13;6;6;0;5;0;13;15;3
2022-10-12-18-30;4;2;9;7;7;10;3;2;18;15;2;2;17;3;0;20;5;6;0;3;13;5;6;12;0;17;0;12;8;1;5;3;4;6;0;6;5;3;1;2;0;9;5;1;0;18;4;11;6;19;16;0;14;11;13;7;12;6;1;10;0;15;16;3;11;10;5;23;3;4;1;1;3;0;17;13;5;7;0;7;2;13;14;4
2022-10-12-18-35;2;2;9;7;7;10;0;6;19;15;3;0;17;3;0;20;7;5;0;5;13;5;6;12;0;18;0;10;8;1;4;3;3;6;1;7;6;2;6;6;0;10;4;3;0;18;4;11;7;20;17;1;14;12;13;7;9;6;2;10;0;15;16;4;11;9;4;21;1;4;2;1;3;0;16;12;4;8;0;5;2;13;13;3
2022-10-12-18-40;2;2;9;6;6;10;1;6;19;14;3;0;19;3;1;20;8;5;0;7;13;5;5;12;0;18;0;8;8;1;2;3;2;6;1;7;5;1;4;6;0;10;4;3;0;17;4;11;1;22;18;1;12;12;13;8;9;5;2;10;0;15;16;3;11;9;4;21;0;0;2;0;4;1;16;12;5;9;0;6;2;12;14;4
2022-10-12-18-45;0;2;7;6;7;9;1;11;19;16;3;0;17;4;2;19;9;4;1;6;13;6;4;12;0;17;3;8;4;2;3;2;3;6;0;8;5;1;2;6;0;11;6;3;0;17;3;12;2;19;18;1;12;13;14;7;12;4;1;10;0;15;16;3;11;10;2;13;1;0;9;1;4;1;16;12;5;9;0;4;2;16;15;3
2022-10-12-18-50;3;2;9;7;6;9;4;9;20;16;3;0;17;4;2;19;10;3;2;8;13;6;6;12;0;17;1;7;4;0;3;1;3;6;0;8;5;1;1;6;3;11;9;3;1;16;3;12;2;18;16;0;12;13;14;8;13;4;1;10;0;15;16;3;11;10;2;14;1;0;13;3;6;0;17;10;4;8;0;4;0;16;16;1
