time;temperature at 2m;relative humidity;precipitation;wind_speed
2022-10-12-00-00;14;86;0;0.7
2022-10-12-00-10;14;86;0;0.4
2022-10-12-00-20;14.1;86;0;0.7
2022-10-12-00-30;14;86;0;0.6
2022-10-12-00-40;13.9;87;0;0.7
2022-10-12-00-50;13.8;87;0;0.9
2022-10-12-01-00;13.6;88;0;0.3
2022-10-12-01-10;13.4;88;0;0.6
2022-10-12-01-20;13.1;89;0;0.8
2022-10-12-01-30;13;89;0;1
2022-10-12-01-40;12.8;90;0;1
2022-10-12-01-50;12.7;90;0;1
2022-10-12-02-00;12.5;91;0;1.1
2022-10-12-02-10;12.4;92;0;1.3
2022-10-12-02-20;12.2;92;0;0.6
2022-10-12-02-30;11.9;92;0;0.4
2022-10-12-02-40;11.9;93;0;1
2022-10-12-02-50;11.8;93;0;0.6
2022-10-12-03-00;11.5;94;0;0.3
2022-10-12-03-10;11.3;94;0;0.3
2022-10-12-03-20;11;94;0;0.5
2022-10-12-03-30;10.9;94;0;0.5
2022-10-12-03-40;10.9;95;0;0.9
2022-10-12-03-50;10.7;96;0;0.3
2022-10-12-04-00;10.6;96;0;0.3
2022-10-12-04-10;10.5;96;0;0.7
2022-10-12-04-20;10.6;96;0;0.6
2022-10-12-04-30;10.6;96;0;0.6
2022-10-12-04-40;10.7;97;0;0.9
2022-10-12-04-50;10.8;98;0;0.5
2022-10-12-05-00;10.9;97;0;1
2022-10-12-05-10;10.9;98;0;1
2022-10-12-05-20;10.9;98;0;0.8
2022-10-12-05-30;10.8;98;0;0.6
2022-10-12-05-40;10.9;98;0;0.7
2022-10-12-05-50;10.9;98;0;0.9
2022-10-12-06-00;10.7;98;0;0.6
2022-10-12-06-10;10.7;98;0;0.3
2022-10-12-06-20;10.7;98;0;0.4
2022-10-12-06-30;10.8;98;0;0.8
2022-10-12-06-40;10.8;98;0;0.8
2022-10-12-06-50;10.9;99;0;0.5
2022-10-12-07-00;10.6;98;0;0.9
2022-10-12-07-10;10.5;98;0;1.1
2022-10-12-07-20;10.4;97;0;1
2022-10-12-07-30;10.6;97;0;1.1
2022-10-12-07-40;10.7;97;0;1.2
2022-10-12-07-50;10.7;97;0;1.4
2022-10-12-08-00;10.7;97;0;1.3
2022-10-12-08-10;10.8;97;0;1.2
2022-10-12-08-20;10.8;97;0;1.3
2022-10-12-08-30;10.7;97;0;1.1
2022-10-12-08-40;10.8;97;0;0.6
2022-10-12-08-50;11;97;0;1.2
2022-10-12-09-00;11.1;96;0;0.9
2022-10-12-09-10;11.3;95;0;0.6
2022-10-12-09-20;11.4;93;0;1.4
2022-10-12-09-30;11.4;92;0;1.2
2022-10-12-09-40;11.7;91;0;1
2022-10-12-09-50;12.5;87;0;0.7
2022-10-12-10-00;13.1;83;0;0.8
2022-10-12-10-10;13.6;81;0;0.9
2022-10-12-10-20;14.5;77;0;1.1
2022-10-12-10-30;14.7;76;0;0.7
2022-10-12-10-40;15.3;74;0;0.5
2022-10-12-10-50;15.9;71;0;1.2
2022-10-12-11-00;16.3;69;0;0.8
2022-10-12-11-10;16.1;69;0;0.7
2022-10-12-11-20;16.3;69;0;0.8
2022-10-12-11-30;16.2;69;0;1
2022-10-12-11-40;16.8;68;0;0.7
2022-10-12-11-50;17.4;63;0;1.2
2022-10-12-12-00;17.6;63;0;1.3
2022-10-12-12-10;17.8;62;0;0.8
2022-10-12-12-20;17.7;63;0;1.3
2022-10-12-12-30;18.1;60;0;1.3
2022-10-12-12-40;18.5;58;0;2.3
2022-10-12-12-50;18.5;58;0;1.9
2022-10-12-13-00;18.9;57;0;1.6
2022-10-12-13-10;19.2;57;0;1.3
2022-10-12-13-20;18.9;56;0;1.4
2022-10-12-13-30;18.7;58;0;1.1
2022-10-12-13-40;18.7;56;0;1.1
2022-10-12-13-50;19;57;0;1
2022-10-12-14-00;19.1;57;0;1.3
2022-10-12-14-10;19.3;55;0;1.5
2022-10-12-14-20;19;56;0;1.2
2022-10-12-14-30;19.5;55;0;1.9
2022-10-12-14-40;19.5;54;0;1.5
2022-10-12-14-50;19.5;55;0;1.9
2022-10-12-15-00;19.5;53;0;1.7
2022-10-12-15-10;19.4;55;0;1.5
2022-10-12-15-20;19.4;54;0;1.4
2022-10-12-15-30;19.7;52;0;1.7
2022-10-12-15-40;19.6;53;0;1
2022-10-12-15-50;19.7;53;0;1.4
2022-10-12-16-00;19.4;54;0;1.9
2022-10-12-16-10;18.9;56;0;1.4
2022-10-12-16-20;18.6;58;0;1.6
2022-10-12-16-30;18.3;59;0;1.6
2022-10-12-16-40;18.1;60;0;1.6
2022-10-12-16-50;17.8;61;0;1.3
2022-10-12-17-00;17.4;63;0;1.3
2022-10-12-17-10;17.1;64;0;1.3
2022-10-12-17-20;16.8;65;0;1.7
2022-10-12-17-30;16.6;66;0;1.3
2022-10-12-17-40;16.5;67;0;1.2
2022-10-12-17-50;16.3;68;0;1.5
2022-10-12-18-00;16.2;69;0;1.2
2022-10-12-18-10;16.1;70;0;1.1
2022-10-12-18-20;15.8;71;0;0.8
2022-10-12-18-30;15.5;73;0;0.6
2022-10-12-18-40;15.1;74;0;0.5
2022-10-12-18-50;14.7;76;0;1
2022-10-12-19-00;14.4;78;0;0.6
2022-10-12-19-10;14.2;79;0;0.5
2022-10-12-19-20;13.9;81;0;0.3
2022-10-12-19-30;13.6;83;0;0.4
2022-10-12-19-40;13.4;84;0;0.7
2022-10-12-19-50;13.1;85;0;0.6
2022-10-12-20-00;13;86;0;0.8
2022-10-12-20-10;13;86;0;1.2
2022-10-12-20-20;12.9;86;0;1.2
2022-10-12-20-30;12.7;87;0;1.2
2022-10-12-20-40;12.5;88;0;0.8
2022-10-12-20-50;12.3;89;0;0.3
2022-10-12-21-00;12;90;0;0.3
2022-10-12-21-10;12;90;0;0.8
2022-10-12-21-20;11.9;91;0;0.6
2022-10-12-21-30;11.8;91;0;0.8
2022-10-12-21-40;11.7;92;0;0.4
2022-10-12-21-50;11.6;92;0;0.4
2022-10-12-22-00;11.6;92;0;0.7
2022-10-12-22-10;11.5;92;0;0.4
2022-10-12-22-20;11.4;92;0;0.5
2022-10-12-22-30;11.3;93;0;0.5
2022-10-12-22-40;11.1;93;0;0.4
2022-10-12-22-50;10.9;94;0;0.5
2022-10-12-23-00;10.8;94;0;0.5
2022-10-12-23-10;10.8;95;0;0.5
2022-10-12-23-20;10.6;95;0;0.5
2022-10-12-23-30;10.5;95;0;0.3
2022-10-12-23-40;10.3;95;0;0.3
2022-10-12-23-50;10.3;95;0;0.4
2022-10-13-00-00;10.4;95;0;0.9
2022-10-13-00-10;10.4;96;0;0.6
2022-10-13-00-20;10.3;96;0;0.4
